作物名称,亩产,种植面积(亩),地区
小麦,744.0,42,华北
水稻,460.0,48,华东
玉米,726.0,75,华中
大豆,711.0,22,西北
棉花,511.0,112,华北
高粱,558.0,68,华东
小麦,,43,华中
水稻,560.0,101,西北
玉米,692.0,30,华北
大豆,658.0,109,华东
棉花,456.0,98,华中
高粱,711.0,78,西北
小麦,675.0,104,华北
水稻,736.0,25,华东
玉米,600.0,42,华中
大豆,553.0,84,西北
棉花,451.0,79,华北
高粱,672.0,99,华东
小麦,553.0,60,华中
水稻,734.0,39,西北
玉米,723.0,87,华北
大豆,736.0,26,华东
棉花,537.0,106,华中
高粱,688.0,41,西北
小麦,586.0,73,华北
水稻,476.0,27,华东
玉米,585.0,104,华中
大豆,461.0,93,西北
棉花,592.0,82,华北
高粱,,96,华东
小麦,745.0,88,华中
水稻,482.0,41,西北
玉米,641.0,58,华北
大豆,,67,华东
棉花,592.0,112,华中
高粱,572.0,79,西北
小麦,524.0,63,华北
水稻,,50,华东
玉米,537.0,44,华中
大豆,714.0,80,西北
棉花,539.0,58,华北
高粱,607.0,108,华东
小麦,722.0,91,华中
水稻,603.0,90,西北
玉米,,39,华北
大豆,626.0,30,华东
棉花,714.0,118,华中
高粱,591.0,79,西北
小麦,509.0,22,华北
水稻,594.0,32,华东
玉米,633.0,81,华中
大豆,747.0,41,西北
棉花,,53,华北
高粱,470.0,88,华东
小麦,492.0,74,华中
水稻,728.0,88,西北
玉米,701.0,83,华北
大豆,490.0,25,华东
棉花,466.0,104,华中
高粱,484.0,91,西北
小麦,526.0,36,华北
水稻,530.0,54,华东
玉米,636.0,79,华中
大豆,451.0,35,西北
棉花,704.0,87,华北
高粱,583.0,77,华东
小麦,507.0,60,华中
水稻,744.0,65,西北
玉米,612.0,47,华北
大豆,677.0,74,华东
棉花,724.0,112,华中
高粱,,85,西北
小麦,725.0,44,华北
水稻,540.0,91,华东
玉米,531.0,57,华中
大豆,,64,西北
棉花,708.0,113,华北
高粱,627.0,44,华东
小麦,662.0,85,华中
水稻,660.0,62,西北
玉米,709.0,83,华北
大豆,499.0,99,华东
棉花,522.0,118,华中
高粱,,88,西北
小麦,582.0,49,华北
水稻,516.0,104,华东
玉米,688.0,89,华中
大豆,551.0,87,西北
棉花,558.0,57,西南
高粱,684.0,20,东北
